#
#  conversion from RegDef.txt for
#   input design        = ppe
#   input design level  = 2
#

SECTION BITS

#design    dlevel   dir  reg_name                                           field_name                                                   format  ext_addr   rw           startbit  numbits  scope      rlm_name                                           clk_type  scanring  reset_val                                                              reset_sig  parity  pulse  reg_name_txt                                       description                                                                                        
#========= ======== ==== ================================================== ============================================================ ======= ========== ============ ========= ======== ========== ================================================== ========= ========= ====================================================================== ========== ======= ====== ================================================== =================================================================================================== 
ppe        2        rx   rx_ppe_stat1_pl                                    rx_dfe_full_quad                                             gcr     000000000  ROX          13        2        per-lane   "dummy_vhdl"                                       slow      func      00                                                                     ioreset    no      na     Register                                           "DFE Full Quadrant that will be calibrated by the next pass of DFE Full when rx_dfe_full_mode=1.  This value is incremented by one each pass so that recal will cover all four quadrants. \n00: North \n01: East \n10: South \n11: West."
ppe        2        rx   rx_ppe_stat1_pl                                    rx_dfe_hyst_enabled                                          gcr     000000000  ROX          15        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Sets after reaching rx_dfe_hyst_min_recal_cnt to indicate that DFE Full is applying hysteresis."   
ppe        2        rx   rx_ppe_stat2_pl                                    rx_bad_eye_opt_width                                         gcr     000000001  ROX          0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Eye opt Step failed width test--lane marked bad"                                                   
ppe        2        rx   rx_ppe_stat2_pl                                    rx_bad_eye_opt_height                                        gcr     000000001  ROX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Eye opt Step failed height test--lane marked bad"                                                  
ppe_alias  2        rx   rx_ppe_stat2_pl                                    rx_step_fail_alias                                           gcr     000000001  ROX          2         14       per-lane   "dummy_vhdl"                                       slow      func      00000000000000                                                         ioreset    yes     na     Register                                           "RXBIST per-lane fail status alias"                                                                 
ppe        2        rx   rx_ppe_stat2_pl                                    rx_ctle_gain_fail                                            gcr     000000001  ROX          2         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle gain step failed for this lane in rxbist or system"                                 
ppe        2        rx   rx_ppe_stat2_pl                                    rx_latch_offset_fail                                         gcr     000000001  ROX          3         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates latch or edge offset step failed for this lane in rxbist or system"                      
ppe        2        rx   rx_ppe_stat2_pl                                    rx_eoff_fail                                                 gcr     000000001  ROX          4         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates latch or edge offset step failed for this lane in rxbist or system"                      
ppe        2        rx   rx_ppe_stat2_pl                                    rx_eoff_poff_fail                                            gcr     000000001  ROX          5         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates poff delta step failed for this lane in rxbist or system"                                
ppe        2        rx   rx_ppe_stat2_pl                                    rx_ctle_peak1_fail                                           gcr     000000001  ROX          6         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle peak step failed for this lane in rxbist or system"                                 
ppe        2        rx   rx_ppe_stat2_pl                                    rx_ctle_peak2_fail                                           gcr     000000001  ROX          7         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle peak step failed for this lane in rxbist or system"                                 
ppe        2        rx   rx_ppe_stat2_pl                                    rx_esd_fail                                                  gcr     000000001  ROX          8         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates esd  failed for this lane in rxbist or system"                                           
ppe        2        rx   rx_ppe_stat2_pl                                    rx_lte_gain_fail                                             gcr     000000001  ROX          9         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates spare failed for this lane in rxbist or system"                                          
ppe        2        rx   rx_ppe_stat2_pl                                    rx_sigdet_fail                                               gcr     000000001  ROX          10        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates rx sigdet step failed for this lane in rxbist or system"                                 
ppe        2        rx   rx_ppe_stat2_pl                                    rx_quad_phase_fail                                           gcr     000000001  ROX          11        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates quad phase step failed for this lane in rxbist or system"                                
ppe        2        rx   rx_ppe_stat2_pl                                    rx_dfe_h1_fail                                               gcr     000000001  ROX          12        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dfe h1 step failed for this lane in rxbist or system"                                    
ppe        2        rx   rx_ppe_stat2_pl                                    rx_dfe_fail                                                  gcr     000000001  ROX          13        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dfe step failed for this lane in rxbist or system"                                       
ppe        2        rx   rx_ppe_stat2_pl                                    rx_ddc_fail                                                  gcr     000000001  ROX          14        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dcc step failed for this lane in rxbist or system"                                       
ppe        2        rx   rx_ppe_stat2_pl                                    rx_ber_fail                                                  gcr     000000001  ROX          15        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ber step failed for this lane in rxbist or system"                                       
ppe_alias  2        rx   rx_ppe_stat3_pl                                    rx_a_step_done_alias                                         gcr     000000010  ROX          0         13       per-lane   "dummy_vhdl"                                       slow      func      0000000000000                                                          ioreset    yes     na     Register                                           "A Bank Step Alias Done Bits"                                                                       
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_latch_offset_done                                       gcr     000000010  ROX          0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates latch offset step done for this lane"                                                    
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_ctle_gain_done                                          gcr     000000010  ROX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle gain step done for this lane"                                                       
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_eoff_done                                               gcr     000000010  ROX          2         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates latch offset step done for this lane"                                                    
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_quad_phase_done                                         gcr     000000010  ROX          3         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates quad phase step done for this lane"                                                      
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_ctle_peak1_done                                         gcr     000000010  ROX          4         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle peak1 step done for this lane"                                                      
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_ctle_peak2_done                                         gcr     000000010  ROX          5         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle peak step done for this lane"                                                       
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_lte_gain_done                                           gcr     000000010  ROX          6         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates lte gain step done for this lane"                                                        
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_lte_zero_done                                           gcr     000000010  ROX          7         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates lte zero step done for this lane"                                                        
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_sigdet_done                                             gcr     000000010  ROX          8         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates rx sigdet step done for this lane"                                                       
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_dfe_h1_done                                             gcr     000000010  ROX          9         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dfe h1 step done for this lane"                                                          
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_dfe_done                                                gcr     000000010  ROX          10        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dfe step done for this lane"                                                             
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_ddc_done                                                gcr     000000010  ROX          11        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dcc step done for this lane"                                                             
ppe        2        rx   rx_ppe_stat3_pl                                    rx_a_ber_done                                                gcr     000000010  ROX          12        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ber step done for this lane"                                                             
ppe_alias  2        rx   rx_ppe_stat4_pl                                    rx_b_step_done_alias                                         gcr     000000011  ROX          0         13       per-lane   "dummy_vhdl"                                       slow      func      0000000000000                                                          ioreset    yes     na     Register                                           "B Bank Step Alias Done Bits"                                                                       
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_latch_offset_done                                       gcr     000000011  ROX          0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates latch offset step done for this lane"                                                    
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_ctle_gain_done                                          gcr     000000011  ROX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle gain step done for this lane"                                                       
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_eoff_done                                               gcr     000000011  ROX          2         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates latch offset step done for this lane"                                                    
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_quad_phase_done                                         gcr     000000011  ROX          3         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates quad phase step done for this lane"                                                      
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_ctle_peak1_done                                         gcr     000000011  ROX          4         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle peak step done for this lane"                                                       
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_ctle_peak2_done                                         gcr     000000011  ROX          5         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ctle peak step done for this lane"                                                       
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_lte_gain_done                                           gcr     000000011  ROX          6         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates lte gain step done for this lane"                                                        
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_lte_zero_done                                           gcr     000000011  ROX          7         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates lte zero step done for this lane"                                                        
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_reserved                                                gcr     000000011  ROX          8         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Reserved unused bit"                                                                               
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_dfe_h1_done                                             gcr     000000011  ROX          9         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dfe h1 step done for this lane"                                                          
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_dfe_done                                                gcr     000000011  ROX          10        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dfe step done for this lane"                                                             
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_ddc_done                                                gcr     000000011  ROX          11        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates dcc step done for this lane"                                                             
ppe        2        rx   rx_ppe_stat4_pl                                    rx_b_ber_done                                                gcr     000000011  ROX          12        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Indicates ber step done for this lane"                                                             
ppe_alias  2        rx   rx_ppe_stat5_pl                                    rx_a_ctle_peak1_peak2_hyst_alias                             gcr     000000100  ROX          0         8        per-lane   "dummy_vhdl"                                       slow      func      00000000                                                               ioreset    yes     na     Register                                           "Alias of the bits used for hysteresis/averaging of Bank A Peak1 and Peak2"                         
ppe        2        rx   rx_ppe_stat5_pl                                    rx_a_ctle_peak1_hyst                                         gcr     000000100  ROX          0         4        per-lane   "dummy_vhdl"                                       slow      func      0000                                                                   ioreset    yes     na     Register                                           "The bits used for hysteresis/averaging of Bank A Peak1"                                            
ppe        2        rx   rx_ppe_stat5_pl                                    rx_a_ctle_peak2_hyst                                         gcr     000000100  ROX          4         4        per-lane   "dummy_vhdl"                                       slow      func      0000                                                                   ioreset    yes     na     Register                                           "The bits used for hysteresis/averaging of Bank A Peak2"                                            
ppe_alias  2        rx   rx_ppe_stat5_pl                                    rx_b_ctle_peak1_peak2_hyst_alias                             gcr     000000100  ROX          8         8        per-lane   "dummy_vhdl"                                       slow      func      00000000                                                               ioreset    yes     na     Register                                           "Alias of the bits used for hysteresis/averaging of Bank B Peak1 and Peak2"                         
ppe        2        rx   rx_ppe_stat5_pl                                    rx_b_ctle_peak1_hyst                                         gcr     000000100  ROX          8         4        per-lane   "dummy_vhdl"                                       slow      func      0000                                                                   ioreset    yes     na     Register                                           "The bits used for hysteresis/averaging of Bank B Peak1"                                            
ppe        2        rx   rx_ppe_stat5_pl                                    rx_b_ctle_peak2_hyst                                         gcr     000000100  ROX          12        4        per-lane   "dummy_vhdl"                                       slow      func      0000                                                                   ioreset    yes     na     Register                                           "The bits used for hysteresis/averaging of Bank B Peak2"                                            
ppe        2        rx   rx_ppe_stat6_pl                                    rx_lane_hist_min_eye_height_valid                            gcr     000000101  ROX          0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Set by PPE when the lane min eye height is valid. Use rx_clr_eye_height_width to clear."           
ppe        2        rx   rx_ppe_stat6_pl                                    rx_lane_hist_min_eye_width_valid                             gcr     000000101  ROX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "Set by PPE when the lane min eye width is valid. Both banks are checked. Use rx_clr_eye_height_width to clear."
ppe_alias  2        rx   rx_ppe_stat6_pl                                    ppe_margin_offset_overlay                                    gcr     000000101  ROX          2         4        per-lane   "dummy_vhdl"                                       slow      func      0000                                                                   ioreset    no      na     Register                                           "Static Margin Offset Applied Tracking Overlay. Internally controlled index for tracking the phase of the offset under test within the context of recalbration lane and count tracking"
ppe_alias  2        rx   rx_ppe_stat6_pl                                    ppe_pr_offset_applied_ab_alias                               gcr     000000101  ROX          2         2        per-lane   "dummy_vhdl"                                       slow      func      00                                                                     ioreset    no      na     Register                                           "Alias of ppe_pr_offset_applied_a and ppe_pr_offset_applied_b"                                      
ppe        2        rx   rx_ppe_stat6_pl                                    ppe_pr_offset_applied_a                                      gcr     000000101  ROX          2         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Static Phase Rotator Offset Usage Indicator for Bank A. Set by PPE code once the override has been applied. May be cleared if a new override value is set."
ppe        2        rx   rx_ppe_stat6_pl                                    ppe_pr_offset_applied_b                                      gcr     000000101  ROX          3         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Static Phase Rotator Offset Usage Indicator for Bank B. Set by PPE code once the override has been applied. May be cleared if a new override value is set."
ppe        2        rx   rx_ppe_stat6_pl                                    ppe_loff_offset_applied_a                                    gcr     000000101  ROX          4         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Static Latch Offset Usage Indicator for Bank A. Set by PPE code once the override has been applied. "
ppe        2        rx   rx_ppe_stat6_pl                                    ppe_loff_offset_applied_b                                    gcr     000000101  ROX          5         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Static Latch Offset Usage Indicator for Bank B. Set by PPE code once the override has been applied. "
ppe        2        rx   rx_ppe_stat6_pl                                    rx_lane_hist_min_eye_height_quad                             gcr     000000101  ROX          6         2        per-lane   "dummy_vhdl"                                       slow      func      00                                                                     ioreset    no      na     Register                                           "The quadrant on which the historical minimum eye height occurred. 00=N, 01=E, 10=S, 11=W."         
ppe        2        rx   rx_ppe_stat6_pl                                    rx_dfe_ap                                                    gcr     000000101  ROX          8         8        per-lane   "dummy_vhdl"                                       slow      func      00000000                                                               ioreset    no      na     Register                                           "DFE Fast AP as calculated from DFE Fast H1 measurements."                                          
ppe        2        rx   rx_ppe_stat7_pl                                    poff_avg_a                                                   gcr     000000110  ROX          0         8        per-lane   "dummy_vhdl"                                       slow      func      00000000                                                               ioreset    yes     na     Register                                           "Twos complement signed number that tell what the average of poff was for lane after running eoff bank a"
ppe        2        rx   rx_ppe_stat7_pl                                    poff_avg_b                                                   gcr     000000110  ROX          8         8        per-lane   "dummy_vhdl"                                       slow      func      00000000                                                               ioreset    yes     na     Register                                           "Twos complement signed number that tell what the average of poff was for lane after running eoff bank b"
ppe        2        rx   rx_ppe_stat8_pl                                    rx_lane_recal_cnt                                            gcr     000000111  ROX          0         16       per-lane   "dummy_vhdl"                                       slow      func      0000000000000000                                                       ioreset    yes     na     Register                                           "Number of recals run on this lane"                                                                 
ppe        2        rx   rx_ppe_stat9_pl                                    rx_a_ddc_hyst_left_edge                                      gcr     000001000  ROX          0         5        per-lane   "dummy_vhdl"                                       slow      func      00000                                                                  ioreset    yes     na     Register                                           "DDC Long Term measured A-Bank LEFT edge, with hysteresis, in mini-PR steps. Represents best quality edge extents. See Workbook on DDC."
ppe        2        rx   rx_ppe_stat9_pl                                    rx_a_ddc_hyst_right_edge                                     gcr     000001000  ROX          5         5        per-lane   "dummy_vhdl"                                       slow      func      00000                                                                  ioreset    yes     na     Register                                           "DDC Long Term measured A-Bank RIGHT edge, with hysteresis, in mini-PR steps. Represents best quality edge extents. See Workbook on DDC."
ppe        2        rx   rx_ppe_stat9_pl                                    rx_a_lane_hist_min_eye_width                                 gcr     000001000  ROX          10        6        per-lane   "dummy_vhdl"                                       slow      func      000000                                                                 ioreset    yes     na     Register                                           "Minimum eye width value measured per-lane on bank A, in mini-PR steps. Can be reloaded with rx_lane_hist_min_eye_width_valid = 0"
ppe        2        rx   rx_ppe_stat10_pl                                   rx_b_ddc_hyst_left_edge                                      gcr     000001001  ROX          0         5        per-lane   "dummy_vhdl"                                       slow      func      00000                                                                  ioreset    yes     na     Register                                           "DDC Long Term measured B-Bank LEFT edge, with hysteresis, in mini-PR steps. Represents best quality edge extents. See Workbook on DDC."
ppe        2        rx   rx_ppe_stat10_pl                                   rx_b_ddc_hyst_right_edge                                     gcr     000001001  ROX          5         5        per-lane   "dummy_vhdl"                                       slow      func      00000                                                                  ioreset    yes     na     Register                                           "DDC Long Term measured B-Bank RIGHT edge, with hysteresis, in mini-PR steps. Represents best quality edge extents. See Workbook on DDC."
ppe        2        rx   rx_ppe_stat10_pl                                   rx_b_lane_hist_min_eye_width                                 gcr     000001001  ROX          10        6        per-lane   "dummy_vhdl"                                       slow      func      000000                                                                 ioreset    yes     na     Register                                           "Minimum eye width value measured per-lane on bank B, in mini-PR steps. Can be reloaded with rx_lane_hist_min_eye_width_valid = 0"
ppe_alias  2        rx   rx_ppe_stat11_pl                                   rx_dfe_coef_7_0_1_6_alias                                    gcr     000001010  ROX          0         16       per-lane   "dummy_vhdl"                                       slow      func      0000000000000000                                                       ioreset    no      na     Register                                           "Alias of DFE (method 2) Coefficient 7_0, 1_6 for the lane"                                         
